model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,status,error
dummy_most_frequent,0.4637096774193548,0.09274193548387097,0.2,0.12672176308539945,0.2938105394117124,ok,
logistic_regression,0.8508064516129032,0.6728463693169575,0.7349178743961352,0.6977961482784223,0.856491146550362,ok,
svm_rbf,0.8629032258064516,0.786037491919845,0.7285410628019324,0.7535392750651922,0.8589472407475959,ok,
knn,0.7862903225806451,0.7108957795004307,0.5332850241545893,0.5828994775716086,0.7663324248464386,ok,
random_forest,0.8185483870967742,0.7025902043182148,0.5186086956521739,0.5638128440082885,0.7956366692701621,ok,
extra_trees,0.8467741935483871,0.7181160601793523,0.574975845410628,0.618400564392154,0.8268107366285559,ok,
gradient_boosting,0.7983870967741935,0.6530799934832192,0.5727632850241546,0.5970558050710466,0.7897213229581787,ok,
mlp,0.8709677419354839,0.7734577698511577,0.7414299516908213,0.7553521749357212,0.8678926876971634,ok,
